Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\Users\baike\RoboND-Rover-Project\BK_dataset\IMG\IMG\robocam_2018_01_21_16_54_54_513.jpg;4.003519;1;0;0.2861716;103.0778;175.9396;1.313466;281.6385;-0.0008175296
C:\Users\baike\RoboND-Rover-Project\BK_dataset\IMG\IMG\robocam_2018_01_21_16_54_54_579.jpg;4.058358;1;0;0.3419914;103.0825;175.9198;1.266024;281.6987;-0.004832685
C:\Users\baike\RoboND-Rover-Project\BK_dataset\IMG\IMG\robocam_2018_01_21_16_54_54_644.jpg;3.923737;1;0;0.4146902;103.0899;175.8896;1.101929;281.8607;-0.0005278231
C:\Users\baike\RoboND-Rover-Project\BK_dataset\IMG\IMG\robocam_2018_01_21_16_54_54_713.jpg;3.626184;1;0;0.4645247;103.0964;175.8626;1.051797;282.131;-0.001636453
C:\Users\baike\RoboND-Rover-Project\BK_dataset\IMG\IMG\robocam_2018_01_21_16_54_54_780.jpg;-0.3568335;1;0;0.5249351;103.1033;175.8323;1.049;282.216;-0.00088303
C:\Users\baike\RoboND-Rover-Project\BK_dataset\IMG\IMG\robocam_2018_01_21_16_54_54_847.jpg;-0.3738861;1;0;0.5827408;103.1131;175.7847;1.153072;282.1881;-0.002183395
C:\Users\baike\RoboND-Rover-Project\BK_dataset\IMG\IMG\robocam_2018_01_21_16_54_54_913.jpg;-0.3758115;1;0;0.6159638;103.121;175.7463;1.234086;282.0798;-0.0003021592
C:\Users\baike\RoboND-Rover-Project\BK_dataset\IMG\IMG\robocam_2018_01_21_16_54_54_980.jpg;0;1;0;0.6855959;103.1294;175.7061;1.243228;282.0596;-0.001778535
C:\Users\baike\RoboND-Rover-Project\BK_dataset\IMG\IMG\robocam_2018_01_21_16_54_55_047.jpg;0;1;0;0.742215;103.1415;175.6482;1.206635;282.0306;-0.000201642
C:\Users\baike\RoboND-Rover-Project\BK_dataset\IMG\IMG\robocam_2018_01_21_16_54_55_113.jpg;0;1;0;0.7912706;103.1513;175.6013;1.18684;282.0648;-0.0008572125
C:\Users\baike\RoboND-Rover-Project\BK_dataset\IMG\IMG\robocam_2018_01_21_16_54_55_179.jpg;0;1;0;0.8484316;103.1619;175.5506;1.209511;282.0632;-0.0003957188
C:\Users\baike\RoboND-Rover-Project\BK_dataset\IMG\IMG\robocam_2018_01_21_16_54_55_246.jpg;0;1;0;0.908865;103.177;175.4787;1.228076;282.0925;-0.001091907
C:\Users\baike\RoboND-Rover-Project\BK_dataset\IMG\IMG\robocam_2018_01_21_16_54_55_313.jpg;0;1;0;0.9541949;103.189;175.4216;1.228926;282.0894;-0.0008427349
C:\Users\baike\RoboND-Rover-Project\BK_dataset\IMG\IMG\robocam_2018_01_21_16_54_55_379.jpg;0;1;0;1.018611;103.2021;175.3618;1.220135;282.1665;-0.001618081
C:\Users\baike\RoboND-Rover-Project\BK_dataset\IMG\IMG\robocam_2018_01_21_16_54_55_447.jpg;0;0.9004573;0;1.06366;103.22;175.2778;1.218421;282.169;-0.0007836345
C:\Users\baike\RoboND-Rover-Project\BK_dataset\IMG\IMG\robocam_2018_01_21_16_54_55_513.jpg;0;0.699361;0;1.110797;103.2339;175.2121;1.215965;282.1555;0.0001349933
C:\Users\baike\RoboND-Rover-Project\BK_dataset\IMG\IMG\robocam_2018_01_21_16_54_55_580.jpg;0;0.4992729;0;1.146833;103.2481;175.1447;1.218497;282.1824;-0.00100744
C:\Users\baike\RoboND-Rover-Project\BK_dataset\IMG\IMG\robocam_2018_01_21_16_54_55_644.jpg;0;0.2965221;0;1.16508;103.2674;175.0536;1.20743;282.1729;-0.0009401734
C:\Users\baike\RoboND-Rover-Project\BK_dataset\IMG\IMG\robocam_2018_01_21_16_54_55_710.jpg;0;0.1072007;0;1.17582;103.2819;174.9851;1.170245;282.1299;0.0004205446
